id,url,date,rawContent,hashtags,cashtags,media,lang,user,retweetCount,likeCount
1.43139E+18,https://twitter.com/sasysona7/status/1431387466305458178,2021-08-27 22:45:40+00:00,#SupremeCourt #justicesystem #USElections #GOPCorruptionOverCountry #VoterSuppression #VoteThemOut #End_gop_terrorisim https://t.co/NRyRkQvegY,"['SupremeCourt', 'justicesystem', 'USElections', 'GOPCorruptionOverCountry', 'VoterSuppression', 'VoteThemOut', 'End_gop_terrorisim']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E91PT9TVkAcpXWn?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E91PT9TVkAcpXWn?format=jpg&name=large'}]",qme,sasysona7,0,0
1.43084E+18,https://twitter.com/BaaghiTV/status/1430838093628776448,2021-08-26 10:22:39+00:00,"The Election Commission of Facebook? | Baaghi TV 

https://t.co/2xgLRHFAlk

#BaaghiTV #Opinions #Facebook #ElectionCommission #GlobalElections #UnitedStates #PoliticalMatters #Cricitism #USElections #SocialNetwork #Extremism #Bigotry #MarkZuckerberg @ihsan_advocate @Facebook","['BaaghiTV', 'Opinions', 'Facebook', 'ElectionCommission', 'GlobalElections', 'UnitedStates', 'PoliticalMatters', 'Cricitism', 'USElections', 'SocialNetwork', 'Extremism', 'Bigotry', 'MarkZuckerberg']",,,en,BaaghiTV,4,5
1.43083E+18,https://twitter.com/DBW_BROADCASTIN/status/1430831401209933825,2021-08-26 09:56:04+00:00,"MIDTERM ELECTIONS (MWNC) – Had enough? Brace yourselves, midterms are just around the corner.  #midtermelections #Election2022 #uselections #GOP #Democrats #USPolitics https://t.co/COtx4N6VN4","['midtermelections', 'Election2022', 'uselections', 'GOP', 'Democrats', 'USPolitics']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9tVk30XIAQJqga?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9tVk30XIAQJqga?format=jpg&name=large'}]",en,DBW_BROADCASTIN,0,0
1.43082E+18,https://twitter.com/saada186/status/1430820823720513537,2021-08-26 09:14:02+00:00,"#NewsBreak 

#Federal judge sanctions #Trump attorneys for spreading false #electionfraud claims 
#pakustv #NYC #USPolitics #SidneyPowell #USElections  #FormerGuy 
https://t.co/7meYfMxLPm","['NewsBreak', 'Federal', 'Trump', 'electionfraud', 'pakustv', 'NYC', 'USPolitics', 'SidneyPowell', 'USElections', 'FormerGuy']",,,en,saada186,0,0
1.43065E+18,https://twitter.com/sasysona7/status/1430647135909814277,2021-08-25 21:43:51+00:00,#CaliforniaRecall IS THIS WHAT YOU WANT FOR CALIFORNIA???? #SEDITIOUSGOP #GOPTraitors #VoteNoOnRecall #VoterSuppression #USElections #Ballots #mailinballots https://t.co/V0Z4Kss4S5,"['CaliforniaRecall', 'SEDITIOUSGOP', 'GOPTraitors', 'VoteNoOnRecall', 'VoterSuppression', 'USElections', 'Ballots', 'mailinballots']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9qt1pfUcAIqcoE?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9qt1pfUcAIqcoE?format=jpg&name=large'}]",en,sasysona7,183,397
1.43055E+18,https://twitter.com/sasysona7/status/1430549831089491972,2021-08-25 15:17:12+00:00,#GOPSEDITIOUSTRAITORS #GOPinsurgents #GOPDeathCult #VoterSuppression #USElections,"['GOPSEDITIOUSTRAITORS', 'GOPinsurgents', 'GOPDeathCult', 'VoterSuppression', 'USElections']",,,qht,sasysona7,0,1
1.43051E+18,https://twitter.com/brianbrane/status/1430508288395915264,2021-08-25 12:32:08+00:00,"#uselections #uselection #trump #TrumpRally  
Was this a cherry that was picked, or is the US that bad?
U.S. elections rank last among all Western democracies:
https://t.co/5lOSZg96X0","['uselections', 'uselection', 'trump', 'TrumpRally']",,,en,brianbrane,0,0
1.43024E+18,https://twitter.com/RPURHAM/status/1430237535297589254,2021-08-24 18:36:15+00:00,Had a great time at the Alaska state fair. Met so many nice Alaskans. Support my campaign at https://t.co/mhBYgKfuME #MAGA #makealaskagreatagain #uselections @ Alaska State Fair https://t.co/hDLPOIrI2s,"['MAGA', 'makealaskagreatagain', 'uselections']",,,en,RPURHAM,0,0
1.42996E+18,https://twitter.com/JonWiener1/status/1429962408336912390,2021-08-24 00:23:00+00:00,"Domestic politics will dominate the US elections of 2022 &amp; 2024, NOT Afghanistan: @HaroldMeyerson on the podcast 'Living in the USA' https://t.co/MCxMy1EX7w @TheProspect #Afghanistan #USElections https://t.co/kp3zGPY16R","['Afghanistan', 'USElections']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9ctPyCUcAUKC4B?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9ctPyCUcAUKC4B?format=jpg&name=large'}]",en,JonWiener1,1,2
1.42992E+18,https://twitter.com/JonWiener1/status/1429916606654648341,2021-08-23 21:21:00+00:00,How Trump's deal with the Taliban boxed Biden in: @HaroldMeyerson comments on the podcast 'Living in the USA' https://t.co/MCxMy1EX7w @TheProspect #Afghanistan #USElections https://t.co/cnGwXrQCPT,"['Afghanistan', 'USElections']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9cs_0KVEAkITYY?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9cs_0KVEAkITYY?format=jpg&name=large'}]",en,JonWiener1,0,1
